match,team,home_away,ballPossession,expectedGoals,bigChanceCreated,totalShotsOnGoal,goalkeeperSaves,cornerKicks,fouls,passes,totalTackle,freeKicks,yellowCards,shotsOnGoal,hitWoodwork,shotsOffGoal,blockedScoringAttempt,totalShotsInsideBox,totalShotsOutsideBox,bigChanceScored,bigChanceMissed,touchesInOppBox,fouledFinalThird,offsides,accuratePasses,throwIns,finalThirdEntries,finalThirdPhaseStatistic,accurateLongBalls,accurateCross,duelWonPercent,dispossessed,groundDuelsPercentage,aerialDuelsPercentage,dribblesPercentage,wonTacklePercent,interceptionWon,ballRecovery,totalClearance,errorsLeadToShot,goalsPrevented,diveSaves,highClaims,punches,goalKicks,errorsLeadToGoal,accurateThroughBall,redCards,penaltySaves
13981442,Napoli,Away,47,3,6,14,2,5,14,419,14,13,0,9,1,2,3,11,3,3,3,27,4,0,346,11,52,72,16,1,50,7,34,19,8,11,6,45,32,1,0,0,3,0,11,0,2,0,0
13981445,Pisa,Home,51,0,2,12,2,8,13,382,14,15,1,2,0,6,4,9,3,0,2,22,0,1,318,16,57,81,21,5,57,5,37,20,8,9,4,47,23,2,0,0,0,1,4,0,0,0,0
13981445,Udinese,Away,49,1,4,13,2,6,15,375,13,13,2,3,0,4,6,7,6,1,3,23,1,1,301,20,50,62,21,1,43,7,29,14,5,7,5,39,34,2,0,0,0,1,13,0,0,0,0
13981434,Roma,Home,73,1,0,22,3,7,11,590,12,17,2,5,0,10,7,12,10,0,0,30,7,1,530,19,72,163,25,7,47,10,33,18,5,6,7,44,11,0,1,2,0,0,3,0,0,0,0
13981434,Torino,Away,27,0,1,8,5,4,17,223,23,11,3,4,0,3,1,4,4,0,1,9,1,4,155,14,50,42,16,3,53,4,39,19,5,15,5,42,42,0,0,1,0,0,11,0,0,0,0
13981451,Hellas Verona,Home,46,1,3,20,3,10,18,412,11,3,2,9,0,6,5,12,8,0,3,27,1,4,332,15,69,83,20,4,45,1,23,17,9,7,9,55,21,0,0,2,0,0,5,0,3,0,0
13981451,Cremonese,Away,54,0,0,6,9,1,3,492,8,18,1,2,0,2,2,2,4,0,0,5,0,1,401,19,51,39,21,3,55,6,30,18,6,3,4,48,33,2,1,3,1,0,7,0,0,0,0
13981430,Como,Home,53,1,2,13,4,0,13,452,15,17,2,4,0,3,6,7,6,0,2,16,0,0,379,32,36,58,25,0,44,12,39,16,8,6,6,49,24,0,0,0,2,0,2,0,0,1,0
13981430,Genoa,Away,47,2,5,12,3,8,17,396,30,13,2,6,1,0,6,9,3,1,4,23,0,0,323,22,44,59,24,2,56,10,58,11,16,20,10,47,17,0,0,0,0,0,5,0,1,0,0
13981437,Milan,Home,39,1,3,14,0,7,17,336,14,16,3,3,4,7,4,10,4,0,3,23,4,2,286,18,38,62,17,3,51,2,37,11,9,11,5,40,24,1,0,0,2,0,3,0,2,0,0
13981437,Bologna,Away,61,0,0,5,2,4,16,521,13,17,2,0,1,2,3,3,2,0,0,9,2,1,453,12,45,78,31,5,49,10,35,12,6,7,5,40,19,3,0,0,2,3,6,0,0,0,0
13981449,Sassuolo,Home,41,1,1,10,3,3,15,415,20,11,6,3,0,5,2,8,2,1,0,22,0,0,350,18,41,52,25,4,54,8,35,14,5,12,12,41,31,0,1,1,1,2,6,0,0,0,0
13981449,Lazio,Away,59,0,1,13,2,7,11,590,12,15,3,3,0,6,4,11,2,0,1,21,2,1,514,18,76,127,15,5,46,10,32,10,6,7,9,44,15,1,0,0,0,0,3,0,1,0,0
13981450,Atalanta,Home,57,2,4,19,2,8,12,456,14,7,0,8,1,8,3,13,6,2,2,34,1,3,390,14,51,95,14,3,52,6,33,14,12,11,6,54,20,1,0,0,0,0,5,0,0,0,0
13981450,Lecce,Away,43,0,1,12,4,2,7,357,13,12,0,3,0,4,5,4,8,0,1,18,2,1,284,18,65,94,20,4,48,7,33,11,8,6,9,34,30,1,-1,0,0,1,12,1,0,0,0
13981427,Cagliari,Home,51,1,4,12,6,4,15,396,14,18,3,5,1,3,4,8,4,2,2,16,1,3,319,21,36,42,23,2,48,12,38,15,7,8,10,38,32,2,1,3,4,1,10,0,0,0,0
13981427,Parma,Away,49,1,4,17,3,5,18,375,20,15,1,5,1,5,7,11,6,0,4,26,4,0,303,19,53,71,18,7,52,10,42,16,7,13,5,47,14,0,0,0,0,0,4,0,0,0,0
13981455,Lecce,Home,52,0,2,11,4,4,10,378,17,19,2,5,0,6,0,8,3,1,1,18,2,0,319,23,48,72,26,7,55,8,42,18,5,8,3,34,23,1,0,1,0,0,5,0,0,0,0
13981455,Cagliari,Away,48,2,3,15,4,7,19,351,20,9,3,6,2,6,3,13,2,2,1,29,1,2,284,15,38,55,15,5,45,12,37,12,7,8,10,40,17,1,0,3,2,2,10,0,1,0,0
13981452,Hellas Verona,Home,28,1,2,14,3,5,18,216,23,9,3,4,0,8,2,7,7,1,1,14,2,1,146,21,39,43,16,3,43,14,33,10,1,14,15,45,21,0,0,0,0,0,7,0,0,0,0
13981452,Juventus,Away,72,0,1,10,3,3,10,570,16,18,3,4,0,4,2,6,4,0,1,21,5,1,495,22,72,131,30,4,57,10,42,16,8,9,6,43,24,1,0,1,1,0,7,0,0,0,0
13981461,Fiorentina,Home,39,0,0,8,5,2,16,313,22,19,4,1,0,4,3,4,4,0,0,14,2,2,241,10,42,43,22,3,51,8,48,12,7,11,11,48,17,0,0,1,0,0,11,0,0,0,0
13981461,Como,Away,61,1,4,19,0,6,19,502,18,16,3,7,0,9,3,10,9,2,2,24,4,2,426,17,46,94,24,5,49,12,41,17,7,11,5,52,33,0,0,0,1,0,10,0,1,0,0
13981456,Inter,Home,61,1,5,20,4,7,15,489,18,8,2,6,0,8,6,16,4,1,4,45,2,2,433,15,51,139,24,10,49,11,33,17,7,14,2,46,23,0,0,1,0,0,3,0,0,0,0
