match,team,player,shirt_number,position,starter,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,keeperSaveValue,totalShots,goalsPrevented,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,totalCross,duelWon,onTargetScoringAttempt,interceptionWon,totalTackle,wonTackle,expectedGoals,expectedGoalsOnTarget,shotValueNormalized,aerialWon,duelLost,shotOffTarget,blockedScoringAttempt,totalClearance,fouls,keyPass,aerialLost,totalContest,goals,errorLeadToAShot,unsuccessfulTouch,wasFouled,accurateCross,wonContest,hitWoodwork,challengeLost,dispossessed,bigChanceCreated,bigChanceMissed,totalOffside,punches,outfielderBlock,clearanceOffLine,errorLeadToAGoal,totalKeeperSweeper,accurateKeeperSweeper,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,lastManTackle,ownGoals,crossNotClaimed,penaltyFaced,penaltyConceded,penaltyWon,penaltyMiss,penaltySave
13981431,Sassuolo,Andrea Ghion,8,M,False,1.0,1.0,,,0.0,1.0,1.0,,0.0,,,,,9.0,3.0,6.7,1.0,6.015e-05,,0,,-0.04,0.01,0.16,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,Sassuolo,Nicholas Pierini,77,F,False,1.0,1.0,,,0.0,,,1.0,1.0,,,,,1.0,1.0,,,0.0697866,,0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,Sassuolo,Luca Moro,24,F,False,,,,,0.0,,,,,,,,,1.0,2.0,,1.0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,Sassuolo,Gioele Zacchi,16,G,False,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,Sassuolo,Arijanet Murić,49,G,False,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,Sassuolo,Giacomo Satalino,12,G,False,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,Sassuolo,Jay Idzes,21,D,False,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,Sassuolo,Edoardo Pieragnolo,15,D,False,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,Sassuolo,Filippo Missori,2,D,False,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,Sassuolo,Cristian Volpato,7,M,False,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,Sassuolo,Samuele Mulattieri,9,F,False,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,Sassuolo,Agustín Álvarez,25,F,False,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,Napoli,Alex Meret,1,G,True,34.0,28.0,9.0,4.0,0.0,27.0,32.0,1.0,2.0,6.0,1.0,,2.0,90.0,41.0,7.0,6.0,0.00023149,0.0288,0,0.0426,0.01,0.02,0.2,0.03,,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,
13981431,Napoli,Giovanni Di Lorenzo,22,D,True,58.0,52.0,1.0,1.0,0.0,26.0,26.0,26.0,32.0,2.0,,,,90.0,73.0,7.1,9.0,0.022992,,0,,0.1,-0.36,-0.04,,1.0,6.0,,,2.0,,,,,3.0,3.0,,,1.0,1.0,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
13981431,Napoli,Amir Rrahmani,13,D,True,86.0,76.0,5.0,2.0,0.0,54.0,57.0,22.0,29.0,4.0,,,,90.0,100.0,7.7,11.0,0.0103487,,1,,0.25,0.16,0.33,,,10.0,,,2.0,2.0,0.1833,,-0.51,6.0,4.0,1.0,,5.0,2.0,1.0,1.0,2.0,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
13981431,Napoli,Juan Jesus,5,D,True,84.0,75.0,4.0,1.0,0.0,58.0,65.0,17.0,19.0,1.0,,,,90.0,92.0,7.2,9.0,0.00533993,,0,,0.15,0.09,0.21,,,4.0,,2.0,4.0,2.0,,,,,2.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,Napoli,Mathías Olivera,17,D,True,37.0,34.0,1.0,,0.0,19.0,19.0,15.0,18.0,2.0,,,,89.0,54.0,6.9,6.0,0.00778156,,0,,0.07,0.02,0.17,,,4.0,,1.0,2.0,1.0,,,,,3.0,,,,3.0,,,1.0,,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,Napoli,Stanislav Lobotka,68,M,True,69.0,67.0,2.0,2.0,0.0,46.0,47.0,21.0,22.0,3.0,,,,81.0,71.0,7.0,2.0,0.0139401,,0,,0.1,0.11,-0.01,,,2.0,,,2.0,2.0,,,,,2.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
13981431,Napoli,Matteo Politano,21,M,True,27.0,22.0,1.0,,1.0,12.0,13.0,10.0,14.0,5.0,,,,76.0,52.0,7.0,15.0,0.103008,,3,,0.29,0.36,-0.05,,8.0,4.0,,1.0,1.0,1.0,0.1343,,-0.52,1.0,5.0,,3.0,2.0,1.0,1.0,,3.0,,,2.0,2.0,2.0,1.0,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
